generation,condition,mean_fitness,std_fitness,median_fitness,max_fitness,min_fitness,n_alive_at_end,mean_birth_weight_norm,mean_death_weight_norm,mean_weight_delta_frobenius,mean_eta,std_eta,min_eta,max_eta,eta_fit_corr,mean_eta_top10,mean_eta_bot10,eta_top_bot_gap
0,EVO_ONLY,1.5139538875402763,1.0522674276459936,0.7538809537745207,2.9442996945500375,0.212119389171575,65,11.289109840393067,11.289109840393067,0.0,0.0500341339657704,0.0018231500094347645,0.044808026403188705,0.05568229779601097,-0.048181332682660366,0.04996099794904391,0.04965407227476438,0.00030692567427953454
0,LEARN_ONLY,1.480661321447536,1.0057706348755535,0.7555195463205329,2.9457097619761714,0.2505849875707632,53,11.306417210896809,10.903718999226887,6.078732008536656,0.049878326083223026,0.0018797631953337134,0.04440103471279144,0.055464956909418106,0.05106773795080803,0.04972351988156636,0.04997082178791364,-0.00024730190634728033
0,EVO_LEARN,1.4868714820335867,1.0028188978720574,0.7696600919644234,2.9271674092471596,0.2879369709268212,59,11.28044293085734,10.903238455454508,6.40226196795702,0.04984919781486193,0.0016237325494735046,0.04563483968377113,0.0541924387216568,0.027217504431715698,0.05020635053515434,0.04979277774691582,0.000413572788238524
0,BASELINE,0.6917791534931784,0.35692055049169413,0.6356932238240175,2.345255823729401,0.1955703050033843,14,12.175809860229492,12.175809860229492,0.0,0.04603691026568413,0.0,0.04603691026568413,0.04603691026568413,0.0,0.04603691026568413,0.04603691026568413,0.0
1,EVO_ONLY,2.356007991138891,0.8426483526264632,2.777354832449819,2.97925,0.2180049094800118,120,11.393668537139893,11.393668537139893,0.0,0.05001116454601288,0.002130778141095737,0.045968011021614075,0.05574546754360199,-0.0393309476351727,0.050782981266578035,0.05001640891035398,0.0007665723562240573
1,LEARN_ONLY,1.5647425402179564,1.0608725951306477,0.7632467368789526,2.9792499985694882,0.19175966361480917,64,11.245288683573404,10.889172331492107,6.423338978091876,0.05020696980257829,0.001880642281182284,0.04575569927692413,0.05535903573036194,-0.039086896698873844,0.050922091801961264,0.05016536191105843,0.0007567298909028353
1,EVO_LEARN,2.476965478868371,0.7607252062466816,2.808520118471872,2.97925,0.2581809548528067,121,11.287498086293539,11.16009738922119,9.863240115245183,0.050163501550753914,0.0017791318497268021,0.045870378613471985,0.05420216917991638,-0.1342470593579607,0.049801382174094515,0.050539665420850116,-0.0007382832467556014
1,BASELINE,0.7845232673135019,0.49375742561170977,0.6060086593372377,2.44716205241703,0.18465862304675273,25,12.175809860229492,12.175809860229492,0.0,0.04603691026568413,0.0,0.04603691026568413,0.04603691026568413,0.0,0.04603691026568413,0.04603691026568413,0.0
2,EVO_ONLY,2.519901005015528,0.5736778104888596,2.720522284027996,2.958917899816421,0.3411846481868998,124,11.328493893941243,11.328493893941243,0.0,0.05008199614783128,0.002058754804476701,0.04595768451690674,0.05575764179229736,-0.15584540858152549,0.050192528714736305,0.05092118705312411,-0.000728658338387804
2,LEARN_ONLY,1.5122932115315633,1.0461396435151114,0.8552172172842307,2.950675621200951,0.19575902565767883,63,11.334656613667805,10.89378044128418,6.3613987016677855,0.04991997701426347,0.0017785532757808211,0.04560687392950058,0.05448772385716438,0.05424252543895597,0.04931975081562996,0.0493349884947141,-1.5237679084137423e-05
2,EVO_LEARN,2.3980662077022625,0.6973402484081724,2.6777463006001665,2.9659700578223425,0.3408957063429989,117,11.194951140085855,11.155266005198161,8.960294366081555,0.04962420185407003,0.0013050153078645703,0.04645732045173645,0.0534694530069828,-0.12169509597508493,0.0492584357659022,0.04973280678192774,-0.0004743710160255432
2,BASELINE,0.7164510882026884,0.409099954330614,0.6508824519217211,2.561060327888578,0.19761506959866626,16,12.175809860229492,12.175809860229492,0.0,0.04603691026568413,0.0,0.04603691026568413,0.04603691026568413,0.0,0.04603691026568413,0.04603691026568413,0.0
3,EVO_ONLY,2.4703143992878642,0.5978681356242395,2.633958241460619,2.9743530572084715,0.34016733578852537,127,11.543941745758056,11.543941745758056,0.0,0.049618079861005145,0.0016705983235160335,0.04700985550880432,0.055712319910526276,0.03098179633227744,0.04939070468147596,0.04954412654042244,-0.00015342185894647725
3,LEARN_ONLY,1.6354920869346476,1.0088569310787734,1.8722400026429193,2.953394564781343,0.19767137335372534,74,11.31821470896403,10.947891082763672,7.055144295295079,0.04989613202710946,0.00175716094291138,0.04542267322540283,0.05371861159801483,0.04431465586133541,0.05068303123116493,0.05011343980828921,0.0005695914228757218
3,EVO_LEARN,2.452914437351363,0.6753945523019504,2.6986117805747045,2.9748325364479173,0.284674649990463,124,11.164044539133707,11.181050484975179,9.853276663993796,0.0493331786741813,0.001271736506158176,0.04648662358522415,0.05275731533765793,0.0021578458689318855,0.049745555967092514,0.04924737811088562,0.0004981778562068925
3,BASELINE,0.7958812056041367,0.4911337458235484,0.6631101754517348,2.498132960065996,0.25166966478376224,18,12.175809860229492,12.175809860229492,0.0,0.04603691026568413,0.0,0.04603691026568413,0.04603691026568413,0.0,0.04603691026568413,0.04603691026568413,0.0
4,EVO_ONLY,2.6756235750472515,0.4287424486782684,2.8041602755016672,2.9733234650960525,0.3962568702797094,145,11.592519340515137,11.592519340515137,0.0,0.04989212460815907,0.0013092104945310698,0.047047022730112076,0.052401840686798096,0.05725208533175505,0.049697957436243695,0.04968842392166455,9.533514579142255e-06
4,LEARN_ONLY,1.572296299658554,1.0696835844864037,1.059701810722101,2.965879427520083,0.24331685223513175,69,11.378289972941081,10.901574611663818,6.657039009928703,0.0499366590877374,0.0016735714766839482,0.045116670429706573,0.05429202690720558,0.009918905427105022,0.04954309165477753,0.04968614354729652,-0.00014305189251899442
4,EVO_LEARN,2.627103649703153,0.5452122426896895,2.829567880736281,2.9719426434905576,0.33921035770385055,141,11.287523422241211,11.25287577311198,10.51812755703926,0.04947653022905191,0.0014327219833492801,0.04648662358522415,0.052818819880485535,-0.12364251985919641,0.049181795120239256,0.049839353561401366,-0.0006575584411621094
4,BASELINE,0.7274428520658773,0.39497675829414514,0.6268760706332159,2.504736240090619,0.21863858988473395,19,12.175809860229492,12.175809860229492,0.0,0.04603691026568413,0.0,0.04603691026568413,0.04603691026568413,0.0,0.04603691026568413,0.04603691026568413,0.0
5,EVO_ONLY,2.67795364172905,0.38194113066905716,2.781114109688906,2.975364250312791,0.2395324227591812,147,11.486439959208171,11.486439959208171,0.0,0.04980434363087018,0.0014720333262539492,0.04721399396657944,0.052435148507356644,-0.12149744992417474,0.050090099374453224,0.05016956999897957,-7.947062452634546e-05
5,LEARN_ONLY,1.5780102680404529,1.0484765430153056,1.0912686302077983,2.9716460522136163,0.18465873130261967,71,11.335849310557048,10.964681803385417,6.824119450648626,0.04993094382186731,0.0019167964484480718,0.04599768668413162,0.05487466976046562,0.006912988792196257,0.04961375842491786,0.0497930238644282,-0.00017926543951034268
5,EVO_LEARN,2.7056814978449673,0.43599537529008486,2.8272865288980533,2.9752199137419812,0.37981451240867115,145,11.248508160909017,11.270524183909098,10.967827830165625,0.04928467075030009,0.0011584008625732832,0.04660479724407196,0.05169597268104553,-0.004748787741847168,0.04960019364953041,0.049014211942752205,0.0005859817067782047
5,BASELINE,0.8360528216088762,0.4842819087859787,0.6897433213615289,2.386409899788406,0.2582209452324443,22,12.175809860229492,12.175809860229492,0.0,0.04603691026568413,0.0,0.04603691026568413,0.04603691026568413,0.0,0.04603691026568413,0.04603691026568413,0.0
6,EVO_ONLY,2.7315650290374727,0.2975572428777032,2.846127324350011,2.97354462825954,0.7667825650081503,131,11.270883305867512,11.270883305867512,0.0,0.04995798406501611,0.0014694217805054368,0.047240715473890305,0.052467864006757736,-0.21577309174504675,0.04956604242324829,0.05069787700970967,-0.0011318345864613846
6,LEARN_ONLY,1.6060846210665518,1.0447065268176217,1.4629740623101575,2.9712566821562008,0.22174850662935655,66,11.263940277099609,10.891287733713785,6.307648984789848,0.05016047385831674,0.002000484319176039,0.044810011982917786,0.054663561284542084,0.0057500247927890075,0.05015736694137255,0.049663195262352626,0.0004941716790199252
6,EVO_LEARN,2.7664812953103963,0.2738693251110585,2.8587737330334706,2.9777119899988174,0.7737574308870775,135,11.479504426320394,11.263486309051514,10.825578579505285,0.049450749928752584,0.0010378578684038687,0.04661720618605614,0.05166807025671005,0.02894266438405197,0.04951951329906781,0.04926745866735776,0.0002520546317100539
6,BASELINE,0.7434323264024485,0.45620994755448985,0.6342616320840573,2.8967620319843332,0.1955703050033843,22,12.175809860229492,12.175809860229492,0.0,0.04603691026568413,0.0,0.04603691026568413,0.04603691026568413,0.0,0.04603691026568413,0.04603691026568413,0.0
7,EVO_ONLY,2.7194756023940627,0.4543288935402382,2.8924172820404177,2.979170552116633,0.2916363922274831,120,11.467690766652424,11.467690766652424,0.0,0.049412271703282995,0.0015989045409732572,0.04727373272180557,0.052435148507356644,-0.07780671956381513,0.05013037572304408,0.049923817565043764,0.00020655815800031674
7,LEARN_ONLY,1.667734887509714,1.0789990906801994,2.0211368484904684,2.9762688076095283,0.26035549605624575,73,11.344375864664714,10.952934163411458,6.993500158786774,0.049970020080606144,0.0016987973054007548,0.04402366280555725,0.05474212020635605,-0.040722831891844606,0.04968136971195539,0.050142695754766466,-0.0004613260428110791
7,EVO_LEARN,2.651234039064717,0.6057679800106919,2.881866759506052,2.979009999513626,0.344063405898791,122,11.44548978805542,11.20192144393921,10.339171410799027,0.04950539005299409,0.0009389535578452802,0.04688355326652527,0.051690466701984406,0.027685754175197624,0.04969204614559809,0.04953281953930855,0.00015922660628954477
7,BASELINE,0.8163859951737317,0.5370835006603427,0.6120335256455158,2.8940801848573035,0.21538269201253352,19,12.175809860229492,12.175809860229492,0.0,0.04603691026568413,0.0,0.04603691026568413,0.04603691026568413,0.0,0.04603691026568413,0.04603691026568413,0.0
8,EVO_ONLY,2.5256789405379667,0.6581042336628203,2.7841243180826933,2.9711339182395227,0.2832605025358499,125,11.466219654083252,11.466219654083252,0.0,0.04957018199066321,0.0014337257294870383,0.04722952842712402,0.05248746648430824,0.01639985803361928,0.04947606002291043,0.04946421285470327,1.1847168207165804e-05
8,LEARN_ONLY,1.441074804016503,1.0453921735758502,0.726229288518816,2.957877694403895,0.21216684460754062,61,11.312646408081054,10.89695068359375,6.291632220943769,0.05001752244929473,0.0018063386958116342,0.044290557503700256,0.05422442406415939,-0.07625443250900406,0.050402031590541206,0.05020162935058276,0.0002004022399584443
8,EVO_LEARN,2.6225412537227073,0.45329866858849055,2.7512740168097345,2.970841086848613,0.25408396464394173,132,11.531926199595134,11.24834846496582,10.56213392317295,0.049589599470297493,0.0009586460013718115,0.04691672325134277,0.051766976714134216,0.03844022557128839,0.04939831147591273,0.04990767017006874,-0.0005093586941560049
8,BASELINE,0.8053905629333891,0.4666672260569825,0.6514299254912382,2.698939483185236,0.1921006507251279,29,12.175809860229492,12.175809860229492,0.0,0.04603691026568413,0.0,0.04603691026568413,0.04603691026568413,0.0,0.04603691026568413,0.04603691026568413,0.0
9,EVO_ONLY,2.578060875354182,0.5681466724650343,2.784837283513771,2.972435859057795,0.31901709673053114,131,11.37429682413737,11.37429682413737,0.0,0.049661157677570976,0.0014471044681434331,0.04723078012466431,0.051639121025800705,0.08499246950707344,0.04975068718194962,0.04924657468994458,0.0005041124920050349
9,LEARN_ONLY,1.5966017130172452,1.0501500940018842,1.279638868050344,2.9692855785853465,0.1819708260957178,65,11.383081512451172,10.92408177057902,6.744054185549418,0.0498198713362217,0.0016035520192959865,0.04513757675886154,0.05339181795716286,-0.03344971895619229,0.04978206977248192,0.05016983052094778,-0.0003877607484658596
9,EVO_LEARN,2.5923901029946648,0.5568312990018508,2.772032321433632,2.9727801742680264,0.29793030037777507,131,11.469134737650553,11.21870807647705,10.71758507768313,0.04962554906805356,0.001050246751286292,0.04689216613769531,0.05095912516117096,0.09832800103608726,0.04987057869633039,0.04943568954865138,0.0004348891476790087
9,BASELINE,0.8588711211378791,0.5231510691317305,0.6699040684827011,2.6109388250627332,0.1955703050033843,28,12.175809860229492,12.175809860229492,0.0,0.04603691026568413,0.0,0.04603691026568413,0.04603691026568413,0.0,0.04603691026568413,0.04603691026568413,0.0
10,EVO_ONLY,2.67209554110262,0.4998348429271534,2.8373197668166394,2.975937165987998,0.3288033182173967,143,11.279017022450764,11.279017022450764,0.0,0.049841122801105184,0.0013757745153665764,0.0471954345703125,0.05160640925168991,0.08177657324128901,0.050518399477005003,0.0497646043697993,0.0007537951072057042
10,LEARN_ONLY,1.70608302033062,1.083923724321086,2.0250179582774215,2.9753239637038673,0.2836322551321408,78,11.326153380076091,10.964026737213135,7.07508734981219,0.0499900987247626,0.0016915414575968636,0.046057380735874176,0.05414419621229172,0.1530249906312555,0.05025576477249463,0.04975365524490674,0.0005021095275878906
10,EVO_LEARN,2.7312097736041285,0.36335957928034956,2.8276682149014576,2.9764047678865198,0.4177924007177354,147,11.442594839731852,11.298573557535807,11.562339090704917,0.04974593470493952,0.0009455830903012808,0.0469132736325264,0.05100885033607483,-0.016854054071531562,0.04950127849976222,0.05010257090131442,-0.0006012924015521975
10,BASELINE,0.818290879521226,0.5136903167096737,0.6634457205190684,2.320549385936803,0.24331685223513175,31,12.175809860229492,12.175809860229492,0.0,0.04603691026568413,0.0,0.04603691026568413,0.04603691026568413,0.0,0.04603691026568413,0.04603691026568413,0.0
11,EVO_ONLY,2.829612958473962,0.19164242920638674,2.8991638328933353,2.97866698320508,1.7444881992248915,150,11.135051116943359,11.135051116943359,0.0,0.05023750364780426,0.0011733050941729654,0.04721865803003311,0.05165008828043938,0.054664857679811704,0.05039142395059268,0.050285964955886206,0.00010545899470647269
11,LEARN_ONLY,1.7232573622939247,1.1064228980282773,2.113189399603155,2.97925,0.3879016249645802,77,11.264999497731527,10.953370068868,7.172784128189087,0.050040890822807944,0.0018562876224417757,0.04591212421655655,0.05452482029795647,0.031908707390536424,0.05052618309855461,0.049959030995766325,0.0005671521027882861
11,EVO_LEARN,2.84063240551251,0.16301183191418894,2.897345502534834,2.9786099977493286,2.035361402932772,150,11.440878874460855,11.308317724863688,12.00134121576945,0.04958682966729005,0.0009486302911424111,0.04685317724943161,0.05098609998822212,0.033323987322488764,0.04951680625478427,0.04947549154361089,4.131471117337776e-05
11,BASELINE,0.8708631258173329,0.5467995269790006,0.6659582175235097,2.6521253109690814,0.21679342165433088,29,12.175809860229492,12.175809860229492,0.0,0.04603691026568413,0.0,0.04603691026568413,0.04603691026568413,0.0,0.04603691026568413,0.04603691026568413,0.0
